ANO,TRIMESTRE,PROVEEDOR,COD_DEPARTAMENTO,DEPARTAMENTO,MUNICIPIO,CAB_MUNICIPAL,COBERT_2G,COBERT_3G,COBERT_4G,COBERT_LTE
2018,3,AVANTEL S.A.S,15,BOYACÁ,SAN JOSÉ DE PARE,S,N,N,N,N
2018,4,COMUNICACION CELULAR S A COMCEL S A,25,CUNDINAMARCA,CHÍA,N,N,N,N,N
2018,4,COMUNICACION CELULAR S A COMCEL S A,76,VALLE DEL CAUCA,CAICEDONIA,N,N,N,N,N
2018,2,COMUNICACION CELULAR S A COMCEL S A,47,MAGDALENA,PIVIJAY,S,S,S,N,N
2018,3,COMUNICACION CELULAR S A COMCEL S A,25,CUNDINAMARCA,CHOACHÍ,S,S,S,N,S
2018,3,COMUNICACION CELULAR S A COMCEL S A,52,NARIÑO,POLICARPA,N,N,N,N,N
2018,2,COMUNICACION CELULAR S A COMCEL S A,73,TOLIMA,FRESNO,N,N,N,N,N
2018,2,COMUNICACION CELULAR S A COMCEL S A,52,NARIÑO,BARBACOAS,N,S,N,N,N
2018,3,COMUNICACION CELULAR S A COMCEL S A,73,TOLIMA,SAN LUIS,N,N,N,N,N
2018,2,COMUNICACION CELULAR S A COMCEL S A,76,VALLE DEL CAUCA,CANDELARIA,N,N,N,N,N
2018,4,COMUNICACION CELULAR S A COMCEL S A,41,HUILA,NÁTAGA,N,N,N,N,N
2018,3,COMUNICACION CELULAR S A COMCEL S A,52,NARIÑO,LEIVA,N,N,N,N,N
